Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
One Bad Mice,2009,,"Johnny (Art Duarte) is out for justice against the mobsters that have raped his sister (Blue McDonnell), storming his way into their strongholds and shooting down anyone that stands in his way, while also seeking revenge against head honcho (Gary Head) for the murder of his father who was killed right in front of him at a young age.",en,https://image.tmdb.org/t/p/w500/dGJReVZcU7aOB1cF8upKWNLuheu.jpg,0,Matt Rafferty,OBM Productions,
Father's Acre,2009,18,"Love makes a bad relationship between father and son all the more rancorous in this drama from Hungarian director Viktor Oszkar Nagy. A convict (Janos Derzsi) returns home after a long stretch in prison to a less than enthusiastic welcome; his son (Tamas Ravasz), now in his late teens, was left to fend for himself and tend the family farm on his own after his dad went away, and the youngster blames his father for his mother's untimely death. The father wants to mend his relationship with his son, but the young man makes no secret of his contempt for his dad, and only grudgingly allows him back on the farm.",hu,https://image.tmdb.org/t/p/w500/qXOn8BffDYMWvukI8rlatDrjAtT.jpg,6.8,Viktor Oszkár Nagy,Mozinet,
Camembert Rose,2009,"18, 35","19-year old Dani Papp lives with his father Tibor, a sex-obsessed and hedonistic gynecologist who pushes his young son to follow in his footsteps. Dani is his exact opposite, shy and romantic, looking for true love instead of sex. A trip to France to visit his musician uncle helps him to understand his own personality and his relationship to his father.",hu,https://image.tmdb.org/t/p/w500/bbNjN1AidPpo9yJZzcOpCLBaxIl.jpg,5.5,Barnabás Tóth,,
Sanam Teri Kasam,2009,"28, 18, 10749",A love triangle forms after a male finds his best friend has married his sweetheart.,hi,https://image.tmdb.org/t/p/w500/w7DIEj2nry7MIIQzP0H89IZrspa.jpg,7,Lawrence D'Souza,,
The Movie Orgy,1968,"35, 99, 36","Clips from assorted television programs, B-movies, commercials, music performances, newsreels, bloopers, satirical short films and promotional and government films of the 1950s and 1960s are intercut together to tell a single story of various creatures and societal ills attacking American cities.",en,https://image.tmdb.org/t/p/w500/dVC8y1LS2OV2DjDvl7SbpNBztBM.jpg,6.2,Joe Dante,,
El reino de los cielos,N/A,,,es,N/A,2,Alejandro Basile,,
Darkness,2009,"27, 53",A man leaves his busy city life for the peace of the country home where he spent his early childhood. His new life is soon disturbed by strange events.,cs,https://image.tmdb.org/t/p/w500/lyB1BspQIN49yDqfskdMPOej630.jpg,3.9,Juraj Herz,,
Live Wire,2009,35,"A comedy about relationships. A just-divorced couple, the wife's lover; a convicted criminal, his pregnant wife and his best friend; the economy minister and his secret lover; all parties are under stress in a hostage situation and surrounded by uncoordinated police troops.",de,https://image.tmdb.org/t/p/w500/5amXv6jk6tAXAbmid9JqyDFhd0q.jpg,6,Zoltan Paul,,
Coraline,2009,"16, 10751, 14","Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",en,https://image.tmdb.org/t/p/w500/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,7.891,Henry Selick,"Laika, Pandemonium, Pandemonium",
Mitsein,2009,,"Life takes a surprising turn for newly married and miserable bride Moksha (Smriti Mishra) when she visits an art gallery to distract her from her isolation and spies a painting of a woman who looks remarkably like her. As she searches for the artist whose brush appeared to capture her innermost feelings, she makes a series of unexpected discoveries about her true self, and the hopes and dreams she once had.",en,N/A,0,N/A,,
